"","...1","Ungulate Latin Name","Avg species weight (kg)","Avg species shoulder height (cm)","Ruminant/non-ruminant","Researcher","Ungulate Family","Ungulate Common Name","Binned season","Year started","Year ended","Plant Reported Family","Plant Reported Name","% Contribution to Diet","Data type","Binned units","Binned method","Total sample size","Binned total sample size units","Latitude 1","Longitude 1","Latitude 2","Longitude 2","Reported Study Site Location","Country","Biome","Citation (abrv)","Latitude 1 Decimal","Longitude 1 Decimal","Latitude 2 Decimal","Longitude 2 Decimal","Latitude_Average","Longitude_Average","point_type"
"1",2875,"Bos grunniens","240","200","Ruminant","kyra_s","Bovidae","Wild yak","summer","1990","1992",NA,"Carex spp.","5.3","frequency","percent occurrence in samples","fecal microhistology",NA,"fecal samples (composite or unstated)","91-93'E","35'50""N",NA,NA,"Wild Yak Valley","Tibet","grassland","Miller et al 1994",91,35,NA,NA,NA,NA,NA
"2",2876,"Bos grunniens","240","200","Ruminant","kyra_s","Bovidae","Wild yak","summer","1990","1992",NA,"Kobresia spp.","67.12","frequency","percent occurrence in samples","fecal microhistology",NA,"fecal samples (composite or unstated)","91-93'E","35'50""N",NA,NA,"Wild Yak Valley","Tibet","grassland","Miller et al 1994",91,35,NA,NA,NA,NA,NA
"3",2877,"Bos grunniens","240","200","Ruminant","kyra_s","Bovidae","Wild yak","summer","1990","1992",NA,"Deschampsia spp.","4.23","frequency","percent occurrence in samples","fecal microhistology",NA,"fecal samples (composite or unstated)","91-93'E","35'50""N",NA,NA,"Wild Yak Valley","Tibet","grassland","Miller et al 1994",91,35,NA,NA,NA,NA,NA
"4",2878,"Bos grunniens","240","200","Ruminant","kyra_s","Bovidae","Wild yak","summer","1990","1992",NA,"Deyeuxia spp.","0.16","frequency","percent occurrence in samples","fecal microhistology",NA,"fecal samples (composite or unstated)","91-93'E","35'50""N",NA,NA,"Wild Yak Valley","Tibet","grassland","Miller et al 1994",91,35,NA,NA,NA,NA,NA
"5",2879,"Bos grunniens","240","200","Ruminant","kyra_s","Bovidae","Wild yak","summer","1990","1992",NA,"Leymus spp.","0.12","frequency","percent occurrence in samples","fecal microhistology",NA,"fecal samples (composite or unstated)","91-93'E","35'50""N",NA,NA,"Wild Yak Valley","Tibet","grassland","Miller et al 1994",91,35,NA,NA,NA,NA,NA
"6",2880,"Bos grunniens","240","200","Ruminant","kyra_s","Bovidae","Wild yak","summer","1990","1992",NA,"Poa spp.","5.65","frequency","percent occurrence in samples","fecal microhistology",NA,"fecal samples (composite or unstated)","91-93'E","35'50""N",NA,NA,"Wild Yak Valley","Tibet","grassland","Miller et al 1994",91,35,NA,NA,NA,NA,NA
"7",2881,"Bos grunniens","240","200","Ruminant","kyra_s","Bovidae","Wild yak","summer","1990","1992",NA,"Roegneria spp.","0.16","frequency","percent occurrence in samples","fecal microhistology",NA,"fecal samples (composite or unstated)","91-93'E","35'50""N",NA,NA,"Wild Yak Valley","Tibet","grassland","Miller et al 1994",91,35,NA,NA,NA,NA,NA
"8",2882,"Bos grunniens","240","200","Ruminant","kyra_s","Bovidae","Wild yak","summer","1990","1992",NA,"Stipa spp.","2.83","frequency","percent occurrence in samples","fecal microhistology",NA,"fecal samples (composite or unstated)","91-93'E","35'50""N",NA,NA,"Wild Yak Valley","Tibet","grassland","Miller et al 1994",91,35,NA,NA,NA,NA,NA
"9",2883,"Bos grunniens","240","200","Ruminant","kyra_s","Bovidae","Wild yak","summer","1990","1992",NA,"Astragalus spp.","7.22","frequency","percent occurrence in samples","fecal microhistology",NA,"fecal samples (composite or unstated)","91-93'E","35'50""N",NA,NA,"Wild Yak Valley","Tibet","grassland","Miller et al 1994",91,35,NA,NA,NA,NA,NA
"10",2884,"Bos grunniens","240","200","Ruminant","kyra_s","Bovidae","Wild yak","summer","1990","1992",NA,"Ceratoides spp.","0.68","frequency","percent occurrence in samples","fecal microhistology",NA,"fecal samples (composite or unstated)","91-93'E","35'50""N",NA,NA,"Wild Yak Valley","Tibet","grassland","Miller et al 1994",91,35,NA,NA,NA,NA,NA
"11",2885,"Bos grunniens","240","200","Ruminant","kyra_s","Bovidae","Wild yak","summer","1990","1992",NA,"Leontopodium spp.","1.85","frequency","percent occurrence in samples","fecal microhistology",NA,"fecal samples (composite or unstated)","91-93'E","35'50""N",NA,NA,"Wild Yak Valley","Tibet","grassland","Miller et al 1994",91,35,NA,NA,NA,NA,NA
"12",2886,"Bos grunniens","240","200","Ruminant","kyra_s","Bovidae","Wild yak","summer","1990","1992",NA,"Potentilla spp.","0.61","frequency","percent occurrence in samples","fecal microhistology",NA,"fecal samples (composite or unstated)","91-93'E","35'50""N",NA,NA,"Wild Yak Valley","Tibet","grassland","Miller et al 1994",91,35,NA,NA,NA,NA,NA
"13",2945,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Desmodium sp.","37.4","quantity","percent composition in diet","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"14",2946,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Shorea obtusa","12.7","quantity","percent composition in diet","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"15",2947,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Ellipeiopsis cherrevensis","10.9","quantity","percent composition in diet","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"16",2948,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Helicteres angustifolia","10.3","quantity","percent composition in diet","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"17",2949,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Poaceae sp.2","10","quantity","percent composition in diet","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"18",2950,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Phyllanthus emblica",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"19",2951,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Melientha suavis",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"20",2952,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Flacourtia rukam",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"21",2953,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Sindora siamensis",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"22",2954,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Poaceae sp.1",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"23",2955,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Hyptis suaveolens",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"24",2956,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Anisopappus sp.",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"25",2957,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Streptocaulon juventas",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"26",2958,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Randia dasycarpa",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"27",2959,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Commelina sp.",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"28",2960,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Indigofera sootepensis",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"29",2961,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Vitex peduncularis",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"30",2962,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Blinkworthia lycioides",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"31",2963,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Xylia xylocarpa",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"32",2964,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Hedycarya angustifolia","78.3","quantity","percent composition in diet","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"33",2965,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Tiliacora triandra","40","quantity","percent composition in diet","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"34",2966,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Helicteres isora","14","quantity","percent composition in diet","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"35",2967,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Millettia leucantha","13.7","quantity","percent composition in diet","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"36",2968,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Dalbergia foliacea",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"37",2969,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Ventilago denticulata",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"38",2970,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Anononerion polymorphum",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"39",2971,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Desmodium sp.",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"40",2972,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Grewia disperma",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"41",2973,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Capparis micracantha",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"42",2974,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Vitex sp.",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"43",2975,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Ellipanthus tomentosus",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"44",2976,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Siphonodon celastrineus",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"45",2977,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Zollingeria dongnaiensis",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"46",2978,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Globba sp.",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"47",2979,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Colona winitii",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"48",2980,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2017","2018",NA,"Croton oblongifolius",NA,"presence/absence","presence/absence","plant transects","45","transects/feeding sites","99°13'57""E","15°25′05″N",NA,NA,"Huai Kha Khaeng Wildlife Sanctuary","Thailand","tropical rainforest","Suksawat et al 2018",99,15,NA,NA,99.2325,NA,"Single Location"
"49",2981,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","wet","2015","2016","Poaceae","Hyrsostachys Siamensis","21.3","frequency","percent occurrence in samples","fecal microhistology","60","fecal samples (composite or unstated)","99°20′33.51""E","14°8′37.09""N",NA,NA,"Salakphra Wildlife Sanctuary","Thailand","tropical rainforest","Chaiyarat et al 2020",99,14,NA,NA,NA,NA,NA
"50",2982,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","wet","2015","2016","Poaceae","Hymenachne pseudointerrupta","19.9","frequency","percent occurrence in samples","fecal microhistology","60","fecal samples (composite or unstated)","99°20′33.51""E","14°8′37.09""N",NA,NA,"Salakphra Wildlife Sanctuary","Thailand","tropical rainforest","Chaiyarat et al 2020",99,14,NA,NA,NA,NA,NA
"51",2983,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","wet","2015","2016","Caesalpinioideae","Bauhinia Pottsii","0.87","frequency","percent occurrence in samples","fecal microhistology","60","fecal samples (composite or unstated)","99°20′33.51""E","14°8′37.09""N",NA,NA,"Salakphra Wildlife Sanctuary","Thailand","tropical rainforest","Chaiyarat et al 2020",99,14,NA,NA,NA,NA,NA
"52",2984,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","wet","2015","2016","Caesalpinioideae","Bauhinia saccocalyx","3.04","frequency","percent occurrence in samples","fecal microhistology","60","fecal samples (composite or unstated)","99°20′33.51""E","14°8′37.09""N",NA,NA,"Salakphra Wildlife Sanctuary","Thailand","tropical rainforest","Chaiyarat et al 2020",99,14,NA,NA,NA,NA,NA
"53",2985,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","wet","2015","2016","Caesalpinioideae","Dalbergia cultrate","8.24","frequency","percent occurrence in samples","fecal microhistology","60","fecal samples (composite or unstated)","99°20′33.51""E","14°8′37.09""N",NA,NA,"Salakphra Wildlife Sanctuary","Thailand","tropical rainforest","Chaiyarat et al 2020",99,14,NA,NA,NA,NA,NA
"54",2986,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","wet","2015","2016","Colvolvulaceae","Hewittia malabarcia","2.6","frequency","percent occurrence in samples","fecal microhistology","60","fecal samples (composite or unstated)","99°20′33.51""E","14°8′37.09""N",NA,NA,"Salakphra Wildlife Sanctuary","Thailand","tropical rainforest","Chaiyarat et al 2020",99,14,NA,NA,NA,NA,NA
"55",2987,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","wet","2015","2016","Ebenaceae","Diospyios rhodcalyx","1.31","frequency","percent occurrence in samples","fecal microhistology","60","fecal samples (composite or unstated)","99°20′33.51""E","14°8′37.09""N",NA,NA,"Salakphra Wildlife Sanctuary","Thailand","tropical rainforest","Chaiyarat et al 2020",99,14,NA,NA,NA,NA,NA
"56",2988,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","wet","2015","2016","Leguminosae","Dendrolobium lanceolatum","4.35","frequency","percent occurrence in samples","fecal microhistology","60","fecal samples (composite or unstated)","99°20′33.51""E","14°8′37.09""N",NA,NA,"Salakphra Wildlife Sanctuary","Thailand","tropical rainforest","Chaiyarat et al 2020",99,14,NA,NA,NA,NA,NA
"57",2989,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","wet","2015","2016","Leguminosae","Millettia brandisiana","1.31","frequency","percent occurrence in samples","fecal microhistology","60","fecal samples (composite or unstated)","99°20′33.51""E","14°8′37.09""N",NA,NA,"Salakphra Wildlife Sanctuary","Thailand","tropical rainforest","Chaiyarat et al 2020",99,14,NA,NA,NA,NA,NA
"58",2990,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","wet","2015","2016","Moraceae","Streblus asper","4.79","frequency","percent occurrence in samples","fecal microhistology","60","fecal samples (composite or unstated)","99°20′33.51""E","14°8′37.09""N",NA,NA,"Salakphra Wildlife Sanctuary","Thailand","tropical rainforest","Chaiyarat et al 2020",99,14,NA,NA,NA,NA,NA
"59",2991,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","wet","2015","2016","Poaceae","Poaceae sp.","4.35","frequency","percent occurrence in samples","fecal microhistology","60","fecal samples (composite or unstated)","99°20′33.51""E","14°8′37.09""N",NA,NA,"Salakphra Wildlife Sanctuary","Thailand","tropical rainforest","Chaiyarat et al 2020",99,14,NA,NA,NA,NA,NA
"60",2992,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2015","2016","Caesalpinioideae","Bauhinia saccocalyx","1.67","frequency","percent occurrence in samples","fecal microhistology","60","fecal samples (composite or unstated)","99°20′33.51""E","14°8′37.09""N",NA,NA,"Salakphra Wildlife Sanctuary","Thailand","tropical rainforest","Chaiyarat et al 2020",99,14,NA,NA,NA,NA,NA
"61",2993,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2015","2016","Caesalpinioideae","Dalbergia cultrate","17.74","frequency","percent occurrence in samples","fecal microhistology","60","fecal samples (composite or unstated)","99°20′33.51""E","14°8′37.09""N",NA,NA,"Salakphra Wildlife Sanctuary","Thailand","tropical rainforest","Chaiyarat et al 2020",99,14,NA,NA,NA,NA,NA
"62",2994,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2015","2016","Colvolvulaceae","Hewittia malabarcia","2.68","frequency","percent occurrence in samples","fecal microhistology","60","fecal samples (composite or unstated)","99°20′33.51""E","14°8′37.09""N",NA,NA,"Salakphra Wildlife Sanctuary","Thailand","tropical rainforest","Chaiyarat et al 2020",99,14,NA,NA,NA,NA,NA
"63",2995,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2015","2016","Cucurbitaceae","Trichosanthes cucumerina","1.01","frequency","percent occurrence in samples","fecal microhistology","60","fecal samples (composite or unstated)","99°20′33.51""E","14°8′37.09""N",NA,NA,"Salakphra Wildlife Sanctuary","Thailand","tropical rainforest","Chaiyarat et al 2020",99,14,NA,NA,NA,NA,NA
"64",2996,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2015","2016","Ebenaceae","Diospyios rhodcalyx","7.67","frequency","percent occurrence in samples","fecal microhistology","60","fecal samples (composite or unstated)","99°20′33.51""E","14°8′37.09""N",NA,NA,"Salakphra Wildlife Sanctuary","Thailand","tropical rainforest","Chaiyarat et al 2020",99,14,NA,NA,NA,NA,NA
"65",2997,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2015","2016","Leguminosae","Dendrolobium lanceolatum","35.45","frequency","percent occurrence in samples","fecal microhistology","60","fecal samples (composite or unstated)","99°20′33.51""E","14°8′37.09""N",NA,NA,"Salakphra Wildlife Sanctuary","Thailand","tropical rainforest","Chaiyarat et al 2020",99,14,NA,NA,NA,NA,NA
"66",2998,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2015","2016","Leguminosae","Millettia brandisiana","3.01","frequency","percent occurrence in samples","fecal microhistology","60","fecal samples (composite or unstated)","99°20′33.51""E","14°8′37.09""N",NA,NA,"Salakphra Wildlife Sanctuary","Thailand","tropical rainforest","Chaiyarat et al 2020",99,14,NA,NA,NA,NA,NA
"67",2999,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2015","2016","Malvaceae","Sida Acuta","2.68","frequency","percent occurrence in samples","fecal microhistology","60","fecal samples (composite or unstated)","99°20′33.51""E","14°8′37.09""N",NA,NA,"Salakphra Wildlife Sanctuary","Thailand","tropical rainforest","Chaiyarat et al 2020",99,14,NA,NA,NA,NA,NA
"68",3000,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2015","2016","Moraceae","Streblus asper","3.35","frequency","percent occurrence in samples","fecal microhistology","60","fecal samples (composite or unstated)","99°20′33.51""E","14°8′37.09""N",NA,NA,"Salakphra Wildlife Sanctuary","Thailand","tropical rainforest","Chaiyarat et al 2020",99,14,NA,NA,NA,NA,NA
"69",3001,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2015","2016","Poaceae","Hyrsostachys siamensis","7.36","frequency","percent occurrence in samples","fecal microhistology","60","fecal samples (composite or unstated)","99°20′33.51""E","14°8′37.09""N",NA,NA,"Salakphra Wildlife Sanctuary","Thailand","tropical rainforest","Chaiyarat et al 2020",99,14,NA,NA,NA,NA,NA
"70",3002,"Bos javanicus","700","160","Ruminant","kyra_s","Bovidae","Banteng","dry","2015","2016","Simaroubaceae","Harrisonia perforate","5.35","frequency","percent occurrence in samples","fecal microhistology","60","fecal samples (composite or unstated)","99°20′33.51""E","14°8′37.09""N",NA,NA,"Salakphra Wildlife Sanctuary","Thailand","tropical rainforest","Chaiyarat et al 2020",99,14,NA,NA,NA,NA,NA
"71",13386,"Moschus moschiferus","14.5","53.5","Ruminant","diego_f","Moschidae","Siberian Musk Deer","winter","2004","2005","Ulmaceae","Ulmus macrocarpa","2.22","proportion","percent composition in diet","fecal microhistology","84","fecal samples (composite or unstated)","128°45' E","46°02' N","129°09' E","46°12' N","Xiaoxing'an Mountains","China","temperate forest","Jianping et al. 2007",128,46,129,46,NA,NA,NA
